Type,Geometry
LINESTRING,"LINESTRING (-100.76983 20.497148, -100.7998 20.51985, -100.76983 20.497148, -101.347481 20.690079, -101.347481 20.690079, -102.27 22.08, -102.27 22.08, -103.427 25.591, -103.427 25.591, -103.575 25.79, -103.575 25.79, -103.347389 25.754274, -103.347389 25.754274, -92.5833 17.4667, -92.5833 17.4667, -94.0338 18.2448, -94.0338 18.2448, -100.937439 25.944944, -100.937439 25.944944, -101.463303 26.903149, -101.463303 26.903149, -101.463303 26.903149, -100.4983 28.7008, -100.50941 28.69553, -100.4983 28.7008, -100.50941 28.69553, -100.496075 28.719698, -100.437993 28.828202, -100.437993 28.828202, -100.399938 29.161532, -100.394133 29.161718, -100.002605 29.254206, -99.614359 29.302475, -99.159554 29.346025, -98.81493 29.309975, -98.650445 29.319542, -98.57984 29.35081, -98.56309 29.369927, -98.56309 29.369927, -98.454872 29.435738, -98.485267 29.402608, -97.940706 29.878395, -97.811782 30.18723, -97.661071 30.512026, -97.408108 30.567493, -97.408108 30.567493, -97.052946 30.643611, -96.711837 30.791635, -96.642231 30.840053, -96.592714 30.778561, -96.592714 30.778561, -96.598884 30.88029, -96.474475 31.032873, -95.645418 31.752605, -95.625136 31.760513, -95.625136 31.760513, -95.208191 32.01959, -94.978502 32.275865, -94.726817 32.49457, -94.726817 32.49457, -94.59347 32.509758, -94.366468 32.552177, -94.366468 32.552177, -94.283605 32.866379, -94.15119 33.171337, -94.058518 33.398361, -94.042853 33.419754, -94.042853 33.419754, -93.673938 33.644706, -93.382849 33.80047, -92.921104 34.240212, -92.652802 34.452159, -92.445817 34.629246, -92.34731 34.688413, -92.230666 34.770649, -92.26906 34.76612, -92.230666 34.770649, -92.230666 34.770649, -92.230666 34.770649, -92.159032 34.826737, -92.091322 34.878962, -91.969848 35.010313, -91.563552 35.311849, -91.563552 35.311849, -91.327433 35.585558, -91.07896 35.901243, -90.793721 36.185021, -90.564963 36.428647, -90.470723 36.668118, -90.395288 36.752623, -90.395288 36.752623, -90.395288 36.752623, -90.258983 36.771636, -89.97241 36.794709, -89.930411 36.811429, -89.909125 36.836559, -89.909125 36.836559, -89.868961 36.949984, -89.714087 37.202421, -89.482241 37.712515, -89.482241 37.712515, -89.836675 37.906004, -90.20878 38.16077, -90.304453 38.320396, -90.268745 38.396656, -90.210731 38.520165, -90.210731 38.520165, -90.210731 38.520165, -90.156663 38.594921, -90.138147 38.590113, -90.138147 38.590113, -90.138147 38.590113, -90.1378 38.5907, -90.1378 38.5907, -90.1378 38.5907, -90.138147 38.590113, -90.138147 38.590113, -90.089733 38.761701, -89.928343 38.878652, -89.623829 39.044101, -88.7546 39.516325, -88.29642 39.796601, -88.154554 39.865607, -88.154554 39.865607, -88.069377 40.000659, -87.730728 40.704218, -87.652173 41.170547, -87.61236 41.568657, -87.61213 41.591888, -87.612267 41.622673, -87.612267 41.622673, -87.612267 41.622673, -87.612267 41.622673, -87.654561 41.588159, -87.654561 41.588159, -87.637023 41.859614, -87.654561 41.588159, -87.654032 41.588625, -87.8588 41.492014, -87.8588 41.492014, -88.059277 41.536014, -88.059277 41.536014, -88.141878 41.574991, -88.141878 41.574991, -88.203765 41.61643, -88.203765 41.61643, -88.230824 41.79566, -88.230824 41.79566, -88.209173 41.885985, -88.209173 41.885985, -88.209244 42.055026, -88.209244 42.055026, -87.982174 42.245988, -87.982174 42.245988, -88.093115 42.484875, -88.093115 42.484875, -88.211183 43.036539, -88.211183 43.036539, -88.456264 43.776862, -88.456264 43.776862, -88.470213 44.18039, -88.470213 44.18039, -89.56414 44.512886, -89.56414 44.512886, -90.155053 44.660943, -90.155053 44.660943, -91.103405 45.462892, -91.103405 45.462892, -91.873264 46.518121, -91.873264 46.518121, -92.145164 46.647167, -92.145164 46.647167, -92.145164 46.647167, -92.297943 46.706226, -92.297943 46.706226, -92.297943 46.706226, -92.604298 47.381796, -92.604298 47.381796, -92.562734 47.517452, -92.562734 47.517452, -93.348722 48.614591, -93.348722 48.614591, -93.40368 48.61385, -93.40368 48.61385, -94.566907 48.722728, -94.566907 48.722728, -96.263298 49.315573, -96.263298 49.315573, -96.857353 49.786747, -96.857353 49.786747, -97.0705 49.8734, -97.0705 49.8734, -97.14834 49.860001, -97.14834 49.860001, -97.41063 49.836295, -97.41063 49.836295, -100.238547 50.028806, -100.238547 50.028806, -102.806895 50.925794, -102.806895 50.925794, -105.468328 51.671092, -105.468328 51.671092, -106.738617 52.103974, -106.738617 52.103974, -106.738617 52.103974, -107.986967 52.053401, -107.986967 52.053401, -110.861553 52.831696, -110.861553 52.831696, -110.861553 52.831696, -111.001296 52.881353, -111.001296 52.881353, -112.11221 53.193402, -112.11221 53.193402, -113.344064 53.576816, -113.344064 53.576816, -113.344064 53.576816)"
POINT Origin,POINT (-100.7737132 20.47019833)
POINT Destination,POINT (-113.3302691 53.57472657)
