Type,Geometry
LINESTRING,"LINESTRING (-83.5 40.26, -83.5 40.26, -83.5 40.26, -83.5 40.26, -83.68 41.18, -83.68 41.18, -85.134067 41.352561, -85.134067 41.352561, -87.664509 41.639403, -87.664509 41.639403, -87.664509 41.639403, -87.6281 41.6369, -87.6281 41.6369, -87.654032 41.588625, -87.654032 41.588625, -87.8588 41.492014, -87.8588 41.492014, -88.059277 41.536014, -88.059277 41.536014, -88.141878 41.574991, -88.141878 41.574991, -88.203765 41.61643, -88.203765 41.61643, -88.230824 41.79566, -88.230824 41.79566, -88.209173 41.885985, -88.209173 41.885985, -88.209244 42.055026, -88.209244 42.055026, -87.982174 42.245988, -87.982174 42.245988, -88.093115 42.484875, -88.093115 42.484875, -88.211183 43.036539, -88.211183 43.036539, -88.456264 43.776862, -88.456264 43.776862, -88.470213 44.18039, -88.470213 44.18039, -89.56414 44.512886, -89.56414 44.512886, -90.155053 44.660943, -90.155053 44.660943, -91.103405 45.462892, -91.103405 45.462892, -91.873264 46.518121, -91.873264 46.518121, -92.145164 46.647167, -92.145164 46.647167, -92.145164 46.647167, -92.145164 46.647167, -92.297943 46.706226, -92.297943 46.706226, -92.604298 47.381796, -92.604298 47.381796, -92.562734 47.517452, -92.562734 47.517452, -93.348722 48.614591, -93.348722 48.614591, -93.40368 48.61385, -93.40368 48.61385, -94.566907 48.722728, -94.566907 48.722728, -96.857353 49.786747, -96.857353 49.786747, -97.0705 49.8734, -97.0705 49.8734, -97.14834 49.860001, -97.14834 49.860001, -97.41063 49.836295, -97.41063 49.836295, -100.238547 50.028806, -100.238547 50.028806, -102.806895 50.925794, -102.806895 50.925794, -105.468328 51.671092, -105.468328 51.671092, -106.738617 52.103974, -106.738617 52.103974, -107.986967 52.053401, -107.986967 52.053401, -110.861553 52.831696, -110.861553 52.831696, -110.861553 52.831696, -111.001296 52.881353, -111.001296 52.881353, -111.508453 52.993747, -113.344064 53.576816, -113.344064 53.576816, -113.5136 53.582361, -113.5136 53.582361, -113.344064 53.576816, -113.344064 53.576816, -113.344064 53.576816)"
POINT Origin,POINT (-83.52920072 40.30451165992512)
POINT Destination,POINT (-113.3302691 53.57472657)
