Type,Geometry
LINESTRING,"LINESTRING (-86.102856 33.438027, -86.102856 33.438027, -86.102856 33.438027, -86.81 33.5, -86.81 33.5, -86.81 33.5, -86.772359 36.120856, -86.772359 36.120856, -85.749463 38.161928, -85.749463 38.161928, -84.49 39.09, -84.49 39.09, -85.134067 41.352561, -85.134067 41.352561, -87.664509 41.639403, -87.664509 41.639403, -87.664509 41.639403, -87.864709 41.830141, -87.864709 41.830141, -87.90814 41.950321, -87.905645 42.701058, -87.926107 42.820651, -87.90721 43.02594, -87.90721 43.02594, -88.597222 43.143889, -89.467683 43.547173, -89.467683 43.547173, -90.021398 43.773273, -90.167921 43.870291, -91.245231 43.834811, -91.245231 43.834811, -91.330623 43.882783, -91.330623 43.882783, -91.758442 44.110664, -92.04963 44.382935, -92.04963 44.382935, -92.537446 44.566404, -92.537446 44.566404, -92.860026 44.757725, -93.027234 44.932272, -93.027234 44.932272, -93.08674 44.94942, -93.239939 44.95143, -93.319776 45.042376, -93.319776 45.042376, -93.397243 45.048961, -95.365224 45.648787, -95.365224 45.648787, -96.897825 46.071257, -97.601399 46.625851, -97.601399 46.625851, -99.933871 47.771946, -99.933871 47.771946, -100.372934 47.920782, -100.372934 47.920782, -100.842597 48.019155, -100.842597 48.019155, -101.263404 48.223459, -101.263404 48.223459, -102.083193 48.670231, -102.083193 48.670231, -102.547967 48.99824, -102.547967 48.99824, -102.547967 48.99824, -102.999 49.138, -102.999 49.138, -103.858 49.6706, -103.858 49.6706, -105.53 50.3781, -105.53 50.3781, -104.644396 50.467751, -104.646 50.4685, -104.646 50.4685, -104.646 50.4685, -104.646 50.4685, -104.646 50.4685)"
POINT Origin,POINT (-86.05063954 33.43614435842153)
POINT Destination,POINT (-104.596845 50.45531141385809)
