Type,Geometry
LINESTRING,"LINESTRING (-86.1029 33.438, -86.1029 33.438, -86.1029 33.438, -86.81 33.5, -86.81 33.5, -85.7495 38.1619, -85.7495 38.1619, -84.49 39.09, -84.49 39.09, -85.1341 41.3526, -85.1341 41.3526, -87.6645 41.6394, -87.6645 41.6394, -87.6645 41.6394, -87.8647 41.8301, -87.4637 41.6039, -87.4641 41.6043, -87.9081 41.9503, -87.9081 41.9503, -87.9186 41.9534, -87.9186 41.9534, -87.9353 41.956, -87.9056 42.7011, -87.9261 42.8207, -87.9072 43.0259, -87.9072 43.0259, -88.5972 43.1439, -89.4677 43.5472, -89.4677 43.5472, -90.1679 43.8703, -91.2452 43.8348, -91.2452 43.8348, -91.3306 43.8828, -91.3306 43.8828, -91.7584 44.1107, -92.0496 44.3829, -92.0496 44.3829, -92.5374 44.5664, -92.5374 44.5664, -92.86 44.7577, -93.0272 44.9323, -93.0272 44.9323, -93.0867 44.9494, -93.2399 44.9514, -93.2399 44.9514, -93.3198 45.0424, -93.3198 45.0424, -93.3972 45.049, -95.3652 45.6488, -95.3652 45.6488, -96.8978 46.0713, -97.6014 46.6259, -97.6014 46.6259, -99.9339 47.7719, -99.9339 47.7719, -100.3729 47.9208, -100.3729 47.9208, -100.8426 48.0192, -100.8426 48.0192, -101.2634 48.2235, -101.2634 48.2235, -102.0832 48.6702, -102.0832 48.6702, -102.548 48.9982, -102.548 48.9982, -102.999 49.138, -102.999 49.138, -103.858 49.6706, -103.858 49.6706, -105.53 50.3781, -105.53 50.3781, -105.8861 50.4629, -106.0848 50.4475, -107.7987 50.2817, -107.7987 50.2817, -109.4763 49.9096, -110.5558 49.9774, -110.5558 49.9774, -110.6718 50.0397, -111.3563 50.2863, -113.4748 50.8506, -113.9156 50.9529, -113.9156 50.9529, -114.022 51.0238, -114.022 51.0238, -114.022 51.0238, -114.0048 50.9952, -114.0048 50.9952)"
POINT Origin,POINT (-86.0506 33.4361)
POINT Destination,POINT (-114.0047 51.0045)
