Type,Geometry
LINESTRING,"LINESTRING (-86.1029 33.438, -86.1029 33.438, -86.81 33.5, -86.81 33.5, -85.7495 38.1619, -85.7495 38.1619, -85.7495 38.1619, -84.49 39.09, -84.49 39.09, -85.1341 41.3526, -85.1341 41.3526, -87.6645 41.6394, -87.6645 41.6394, -87.6645 41.6394, -87.6281 41.6369, -87.6281 41.6369, -87.6219 41.6488, -87.654 41.5886, -87.654 41.5886, -87.8588 41.492, -87.8588 41.492, -88.0593 41.536, -88.0593 41.536, -88.1419 41.575, -88.1419 41.575, -88.2038 41.6164, -88.2038 41.6164, -88.2308 41.7957, -88.2308 41.7957, -88.2308 41.7957, -88.2092 41.886, -88.2092 41.886, -88.2092 42.055, -88.2092 42.055, -87.9822 42.246, -87.9822 42.246, -88.0931 42.4849, -88.0931 42.4849, -88.2112 43.0365, -88.2112 43.0365, -88.4563 43.7769, -88.4563 43.7769, -88.4702 44.1804, -88.4702 44.1804, -89.5641 44.5129, -89.5641 44.5129, -90.1551 44.6609, -90.1551 44.6609, -91.1034 45.4629, -91.1034 45.4629, -91.8733 46.5181, -91.8733 46.5181, -92.1452 46.6472, -92.1452 46.6472, -92.1452 46.6472, -92.2979 46.7062, -92.2979 46.7062, -92.2979 46.7062, -92.6043 47.3818, -92.6043 47.3818, -92.5627 47.5175, -92.5627 47.5175, -93.3487 48.6146, -93.3487 48.6146, -93.4037 48.6139, -93.4037 48.6139, -94.5669 48.7227, -94.5669 48.7227, -96.8574 49.7867, -96.8574 49.7867, -97.0705 49.8734, -97.0705 49.8734, -97.1483 49.86, -97.1483 49.86, -97.1483 49.86, -97.4106 49.8363, -97.4106 49.8363, -100.2385 50.0288, -100.2385 50.0288, -101.0326 50.1608, -101.0326 50.1608, -102.8069 50.9258, -102.8069 50.9258, -104.6252 51.4111, -105.4683 51.6711, -105.4683 51.6711, -106.7386 52.104, -106.7386 52.104, -107.987 52.0534, -107.987 52.0534, -108.3104 52.167, -108.3104 52.167, -108.8293 52.3632, -108.8293 52.3632, -110.8616 52.8317, -110.8616 52.8317, -110.8616 52.8317, -111.0013 52.8814, -111.0013 52.8814, -113.3441 53.5768, -113.3441 53.5768)"
POINT Origin,POINT (-86.0506 33.4361)
POINT Destination,POINT (-113.3303 53.5747)
