Type,Geometry
LINESTRING,"LINESTRING (-99.8700 25.1600, -99.8700 25.1600, -99.8700 25.1600, -99.8700 25.1600, -99.8700 25.1600, -100.9374 25.9449, -100.9374 25.9449, -101.4633 26.9031, -101.4633 26.9031, -100.7700 28.4200, -100.5094 28.6955, -100.5094 28.6955, -100.4983 28.7008, -100.4961 28.7197, -100.4380 28.8282, -100.3999 29.1615, -100.3941 29.1617, -100.0026 29.2542, -99.6144 29.3025, -99.1596 29.3460, -98.9798 29.3317, -98.9798 29.3317, -98.8149 29.3100, -98.6504 29.3195, -98.5798 29.3508, -98.5798 29.3508, -98.5631 29.3699, -98.5631 29.3699, -98.4549 29.4357, -98.2953 29.6107, -98.0309 29.8014, -97.9407 29.8784, -97.8118 30.1872, -97.6611 30.5120, -97.4081 30.5675, -97.4081 30.5675, -97.0529 30.6436, -96.7118 30.7916, -96.6422 30.8401, -96.5927 30.7786, -96.5927 30.7786, -96.5989 30.8803, -96.4745 31.0329, -95.6454 31.7526, -95.6251 31.7605, -95.6251 31.7605, -95.2082 32.0196, -94.9785 32.2759, -94.8533 32.4014, -94.7268 32.4946, -94.7268 32.4946, -94.5935 32.5098, -94.4777 32.5157, -94.3665 32.5522, -94.3665 32.5522, -94.3656 32.5668, -94.3452 32.6601, -94.3452 32.6601, -94.2836 32.8664, -94.1512 33.1713, -94.0585 33.3984, -94.0429 33.4198, -94.0429 33.4198, -93.6739 33.6447, -93.3828 33.8005, -92.9211 34.2402, -92.6528 34.4522, -92.4458 34.6292, -92.3473 34.6884, -92.2307 34.7706, -92.2307 34.7706, -92.2307 34.7706, -92.1590 34.8267, -92.0913 34.8790, -91.9698 35.0103, -91.5636 35.3118, -91.5636 35.3118, -91.3274 35.5856, -91.0790 35.9012, -90.7937 36.1850, -90.5650 36.4286, -90.4707 36.6681, -90.3953 36.7526, -90.3953 36.7526, -90.2590 36.7716, -89.9724 36.7947, -89.9304 36.8114, -89.9091 36.8366, -89.9091 36.8366, -89.8690 36.9500, -89.7141 37.2024, -89.4460 37.2330, -89.4822 37.7125, -89.4822 37.7125, -89.8367 37.9060, -90.2088 38.1608, -90.3045 38.3204, -90.2107 38.5202, -90.2107 38.5202, -90.2107 38.5202, -90.1567 38.5949, -90.1381 38.5901, -90.1381 38.5901, -90.1381 38.5901, -90.1378 38.5907, -90.1378 38.5907, -90.1378 38.5907, -90.1668 38.6235, -90.1668 38.6235, -90.1668 38.6235, -90.1381 38.5901, -90.1381 38.5901, -90.0897 38.7617, -89.9283 38.8787, -89.6238 39.0441, -88.7546 39.5163, -88.2964 39.7966, -88.1546 39.8656, -88.1546 39.8656, -88.0694 40.0007, -87.7307 40.7042, -87.6522 41.1705, -87.6124 41.5687, -87.6121 41.5919, -87.6123 41.6227, -87.6123 41.6227, -87.6123 41.6346, -87.6510 41.6422, -87.8176 41.7781, -87.8660 41.8607, -87.9154 41.9093, -87.9154 41.9093, -87.9345 41.9559, -87.9345 41.9559, -87.9345 41.9559, -87.9081 41.9503, -87.9186 41.9534, -87.7406 41.9137, -87.7406 41.9137, -87.7778 41.7663, -87.5297 41.7090, -87.4626 41.6671, -85.9698 41.6810, -85.9698 41.6810, -84.6097 41.5791, -83.1931 42.2680, -82.9710 42.2739, -82.9781 42.2855, -82.9781 42.2855, -82.1756 42.3996, -81.1901 43.0036, -81.1901 43.0036, -80.7392 43.1255, -80.7270 43.1592, -80.7270 43.1592, -80.3597 43.3997, -80.3597 43.3997, -80.0000 43.4724, -80.0000 43.4724, -79.5761 43.6060, -79.4326 43.6417, -79.4326 43.6417, -79.5077 43.7860, -79.5077 43.7860, -78.5249 43.9014, -78.5000 43.9097, -76.0272 44.9065, -76.0272 44.9065, -73.7800 45.4479, -73.6815 45.4553, -73.6815 45.4553, -73.6815 45.4553, -73.6815 45.4553, -73.6815 45.4553)"
POINT Origin,POINT (-100.3437106 25.83782798278985)
POINT Destination,POINT (-73.67250029 45.46902442247729)
