Type,Geometry
LINESTRING,"LINESTRING (-83.53 40.23, -83.53 40.23, -83.5 40.26, -83.5 40.26, -83.68 41.18, -83.68 41.18, -85.134067 41.352561, -85.134067 41.352561, -87.664509 41.639403, -87.664509 41.639403, -87.664509 41.639403, -87.46371 41.60386, -87.640087 41.649953, -87.664509 41.639403, -85.134067 41.352561, -85.134067 41.352561, -83.495886 41.586476, -83.495886 41.586476, -83.495886 41.586476, -83.070892 42.319485, -83.070892 42.319485, -83.070892 42.319485, -83.070892 42.319485, -83.106598 42.325699, -82.970963 42.273912, -82.970963 42.273912, -82.978106 42.28554, -82.71326 42.285495, -82.1756 42.3996, -81.190056 43.003559, -81.190056 43.003559, -80.7392 43.1255, -80.7392 43.1255, -80.72704 43.159169, -80.72704 43.159169, -80.3597 43.3997, -80.3597 43.3997, -79.759963 43.655351, -79.576126 43.606, -79.4326 43.6417, -79.4326 43.6417, -79.5077 43.786, -79.5077 43.786, -78.5249 43.9014, -78.500036 43.909674, -76.0272 44.9065, -76.0272 44.9065, -73.78 45.4479, -73.6815 45.4553, -73.6815 45.4553)"
POINT Origin,POINT (-83.52616321 40.30399304609711)
POINT Destination,POINT (-73.67250029 45.46902442247729)
