Type,Geometry
LINESTRING,"LINESTRING (-84.7491 39.1495, -84.7491 39.1495, -85.4904 39.3261, -85.4904 39.3261, -84.7491 39.1495, -84.7491 39.1495, -84.49 39.09, -84.14 40.75, -84.14 40.75, -83.4959 41.5865, -83.5316 41.5892, -83.51 41.69, -83.5042 41.6164, -83.5031 41.7093, -83.5031 41.7093, -83.182 42.144, -83.182 42.144, -83.1521 42.2341, -83.1521 42.2341, -83.1401 42.2719, -83.1401 42.2719, -83.1066 42.3257, -83.1066 42.3257, -82.7972 42.7348, -82.7972 42.7348, -82.4434 42.9608, -82.4434 42.9608, -82.3557 42.9565, -82.3557 42.9565, -82.2335 42.9512, -82.2335 42.9512, -81.2155 42.9861, -81.2155 42.9861, -80.4291 43.1939, -80.4291 43.1939, -80.2658 43.1468, -80.2658 43.1468, -80.2658 43.1468, -79.8555 43.3126, -79.8555 43.3126, -79.9314 43.6529, -79.9314 43.6529, -79.7641 43.6869, -79.7641 43.6869, -79.5077 43.7871, -79.5077 43.7871, -79.5077 43.7871)"
POINT Origin,POINT (-85.5289 39.3636)
POINT Destination,POINT (-79.5121 43.8286)
