Type,Geometry
LINESTRING,"LINESTRING (-86.102856 33.438027, -86.102856 33.438027, -86.102856 33.438027, -86.81 33.5, -86.81 33.5, -85.749463 38.161928, -85.749463 38.161928, -84.49 39.09, -84.49 39.09, -83.495886 41.586476, -83.495886 41.586476, -83.070892 42.319485, -83.070892 42.319485, -83.070892 42.319485, -83.070892 42.319485, -83.106598 42.325699, -82.970963 42.273912, -82.970963 42.273912, -82.978106 42.28554, -81.190056 43.003559, -81.190056 43.003559, -80.7392 43.1255, -80.7392 43.1255, -80.72704 43.159169, -79.5077 43.786, -79.5077 43.786, -78.5249 43.9014, -76.0272 44.9065, -76.0272 44.9065, -73.78 45.4479, -73.6815 45.4553, -73.6815 45.4553, -73.6815 45.4553, -73.6815 45.4553)"
POINT Origin,POINT (-86.05063954 33.43614435842153)
POINT Destination,POINT (-73.67250029 45.46902442247729)
