Type,Geometry
LINESTRING,"LINESTRING (-86.1029 33.438, -86.1029 33.438, -86.1029 33.438, -86.81 33.5, -86.81 33.5, -86.7724 36.1209, -86.7724 36.1209, -85.7495 38.1619, -85.7495 38.1619, -84.49 39.09, -84.49 39.09, -83.4959 41.5865, -83.4959 41.5865, -83.0709 42.3195, -83.0709 42.3195, -83.0709 42.3195, -83.0709 42.3195, -83.1066 42.3257, -82.971 42.2739, -82.971 42.2739, -82.9781 42.2855, -82.9781 42.2855, -82.7133 42.2855, -82.1756 42.3996, -81.1901 43.0036, -81.1901 43.0036, -80.7392 43.1255, -80.7392 43.1255, -80.727 43.1592, -80.727 43.1592, -80.3597 43.3997, -80.3597 43.3997, -80 43.4724, -79.76 43.6554, -79.4326 43.6417, -79.4326 43.6417, -79.5077 43.786, -79.5077 43.786, -79.5077 43.786, -79.273 43.787, -79.273 43.787)"
POINT Origin,POINT (-86.0506 33.4361)
POINT Destination,POINT (-79.2501 43.8064)
