Type,Geometry
LINESTRING,"LINESTRING (-83.5000 40.2600, -83.5000 40.2600, -83.5000 40.2600, -83.5000 40.2600, -83.5409 40.4023, -84.0332 40.2933, -84.1716 39.8758, -84.5094 39.4542, -84.4900 39.0900, -84.4900 39.0900, -85.7352 38.2622, -85.7495 38.1619, -85.7495 38.1619, -85.7530 38.1750, -84.9024 39.0582, -84.4900 39.0900, -84.4900 39.0900, -84.5094 39.4542, -84.1716 39.8758, -84.2008 40.6631, -84.1400 40.7500, -84.1400 40.7500, -84.1400 40.7500, -83.6800 41.1800, -83.6800 41.1800, -83.5316 41.5892, -83.4959 41.5865, -83.4959 41.5865, -83.4959 41.5865, -83.3940 42.1788, -83.4667 42.3810, -83.0709 42.3195, -83.0709 42.3195, -83.0709 42.3195, -83.1208 42.4016, -83.1066 42.3257, -82.9710 42.2739, -82.9710 42.2739, -82.9781 42.2855, -82.9781 42.2855, -82.1756 42.3996, -81.1901 43.0036, -81.1901 43.0036, -80.7392 43.1255, -80.7270 43.1592, -80.7270 43.1592, -80.3597 43.3997, -80.3597 43.3997, -80.0557 43.4492, -80.0000 43.4724, -80.0000 43.4724, -79.7600 43.6554, -79.4326 43.6417, -79.4326 43.6417, -79.5077 43.7860, -79.5077 43.7860, -78.5000 43.9097, -76.0272 44.9065, -76.0272 44.9065, -73.7800 45.4479, -73.6815 45.4553, -73.6815 45.4553, -73.6815 45.4553, -73.6815 45.4553, -73.6815 45.4553, -73.6793 45.4759)"
POINT Origin,POINT (-83.5292 40.3045)
POINT Destination,POINT (-73.6725 45.469)
