Type,Geometry
LINESTRING,"LINESTRING (-79.8624 44.1482, -79.8624 44.1482, -79.8624 44.1482, -79.8382 44.1333, -79.8382 44.1333, -79.743 43.8706, -79.855881 44.178367, -79.4416 43.678, -79.4326 43.6417, -79.5077 43.786, -79.5077 43.786, -79.4416 43.678, -79.4326 43.6417, -79.8382 44.1333, -79.8382 44.1333, -79.818432 45.211385, -79.818432 45.211385, -80.9019 46.526, -80.9019 46.526, -81.196528 46.580992, -81.53788 46.684311, -81.53788 46.684311, -83.600996 47.88698, -83.600996 47.88698, -85.300491 48.589458, -85.300491 48.589458, -87.049917 48.799673, -87.28851 48.794043, -87.28851 48.794043, -89.2547 48.4078, -89.2547 48.4078, -91.68361 49.411325, -91.68361 49.411325, -94.497589 49.77235, -94.497589 49.77235, -97.13186 49.88618, -97.13186 49.88618, -98 50.057159, -98.28505 49.978174, -98.28505 49.978174, -99.9515 49.8413, -99.9515 49.8413, -100.936188 49.85437, -102.466667 50.365101, -102.466667 50.365101, -104.646 50.4685, -104.644396 50.467751, -104.644396 50.467751, -105.166145 50.39201, -105.53 50.3781, -105.53 50.3781, -106.084763 50.447497, -107.798736 50.281654, -107.798736 50.281654, -109.476347 49.909556, -110.555822 49.977403, -110.555822 49.977403, -110.671843 50.039651, -110.671843 50.039651, -111.356278 50.286287, -113.47484 50.850627, -113.915575 50.952853, -113.915575 50.952853, -114.021966 51.023849, -114.021966 51.023849, -114.004834 50.995207, -114.004834 50.995207)"
POINT Origin,POINT (-79.77294635 44.273132444878925)
POINT Destination,POINT (-114.0046971 51.004452930828485)
