Type,Geometry
LINESTRING,"LINESTRING (-100.7698 20.4971, -100.7698 20.4971, -100.7698 20.4971, -100.7698 20.4971, -100.7698 20.4971, -100.7698 20.4971, -100.7492 20.6724, -100.7492 20.6724, -100.9534 21.8301, -100.9534 21.8301, -100.8967 22.0312, -100.8967 22.0312, -100.968 22.1512, -100.968 22.1512, -101.0163 22.6377, -101.0163 22.6377, -100.9489 23.8833, -100.9489 23.8833, -100.8707 24.5183, -100.8707 24.5183, -101.1094 25.1215, -101.1094 25.1215, -101.0156 25.4209, -101.0156 25.4209, -100.9673 25.5084, -100.9673 25.5084, -100.3001 25.8598, -100.3001 25.8598, -100.2806 25.9694, -100.2806 25.9694, -99.6845 27.4646, -99.6845 27.4646, -99.5172 27.4899, -99.6845 27.4646, -99.5166 27.5062, -99.5166 27.5062, -99.5166 27.5062, -99.4276 27.4983, -97.6618 27.7871, -97.6618 27.7871, -95.9998 29.4478, -95.9998 29.4478, -94.0133 30.1244, -94.0133 30.1244, -93.2748 31.1374, -93.2748 31.1374, -93.6897 32.2517, -93.6897 32.2517, -93.7425 32.4419, -93.7425 32.4419, -93.8362 32.5365, -93.8362 32.5365, -94.6075 34.8919, -94.6075 34.8919, -94.689 37.381, -94.689 37.381, -94.5021 39.0605, -94.5021 39.0605, -94.6091 39.0814, -94.6091 39.0814, -94.6091 39.0814, -94.0356 39.5504, -92.4119 41.0161, -92.4119 41.0161, -90.8009 41.4587, -90.6302 41.4938, -90.6302 41.4938, -90.1797 42.0557, -90.4231 42.2557, -91.1226 42.8886, -91.1777 43.0443, -91.1777 43.0443, -91.3306 43.8828, -91.3306 43.8828, -91.7584 44.1107, -92.0496 44.3829, -92.0496 44.3829, -92.5374 44.5664, -92.5374 44.5664, -92.86 44.7577, -93.0272 44.9323, -93.0272 44.9323, -93.0867 44.9494, -93.2399 44.9514, -93.3198 45.0424, -93.3198 45.0424, -95.3652 45.6488, -95.3652 45.6488, -96.8978 46.0713, -97.6014 46.6259, -97.6014 46.6259, -99.7496 47.6937, -99.9339 47.7719, -99.9339 47.7719, -100.3729 47.9208, -100.3729 47.9208, -100.8426 48.0192, -100.8426 48.0192, -101.2634 48.2235, -101.2634 48.2235, -102.0832 48.6702, -102.0832 48.6702, -102.548 48.9982, -102.548 48.9982, -102.999 49.138, -102.999 49.138, -103.858 49.6706, -103.858 49.6706, -105.53 50.3781, -105.53 50.3781, -106.0848 50.4475, -107.7987 50.2817, -107.7987 50.2817, -109.4763 49.9096, -110.5558 49.9774, -110.6718 50.0397, -110.6718 50.0397, -111.3563 50.2863, -113.4748 50.8506, -113.9156 50.9529, -113.9156 50.9529, -114.022 51.0238, -114.022 51.0238, -114.0048 50.9952, -114.0048 50.9952, -114.0048 50.9952, -114.0048 50.9952, -114.0048 50.9952)"
POINT Origin,POINT (-100.7737 20.4702)
POINT Destination,POINT (-114.0047 51.0045)
