Type,Geometry
LINESTRING,"LINESTRING (-86.1029 33.438, -86.1029 33.438, -86.1029 33.438, -86.81 33.5, -86.81 33.5, -85.7495 38.1619, -85.7495 38.1619, -85.7495 38.1619, -84.49 39.09, -84.49 39.09, -85.1341 41.3526, -85.1341 41.3526, -87.6645 41.6394, -87.6645 41.6394, -87.6645 41.6394, -87.8647 41.8301, -87.4637 41.6039, -87.4641 41.6043, -87.9081 41.9503, -87.9081 41.9503, -87.9056 42.7011, -87.9261 42.8207, -87.9072 43.0259, -87.9072 43.0259, -88.5972 43.1439, -89.4677 43.5472, -89.4677 43.5472, -90.0214 43.7733, -90.1679 43.8703, -91.2452 43.8348, -91.2452 43.8348, -91.3306 43.8828, -91.3306 43.8828, -91.7584 44.1107, -92.0496 44.3829, -92.0496 44.3829, -92.5374 44.5664, -92.5374 44.5664, -92.86 44.7577, -92.9603 44.828, -93.004 44.8803, -93.0272 44.9323, -93.0272 44.9323, -93.0867 44.9494, -93.2399 44.9514, -93.3198 45.0424, -93.3198 45.0424, -93.3972 45.049, -95.3652 45.6488, -95.3652 45.6488, -96.1761 48.1286, -96.1761 48.1286, -97.2028 48.9995, -97.2028 48.9995, -97.1319 49.8862, -97.1319 49.8862, -97.1319 49.8862)"
POINT Origin,POINT (-86.0506 33.4361)
POINT Destination,POINT (-97.0476 49.8674)
