Type,Geometry
LINESTRING,"LINESTRING (-79.8624 44.1482, -79.8624 44.1482, -79.8624 44.1482, -79.8624 44.1482, -79.8382 44.1333, -79.8382 44.1333, -79.743 43.8706, -79.8559 44.1784, -79.4326 43.6417, -79.4416 43.678, -79.4326 43.6417, -79.5077 43.786, -79.5077 43.786, -79.4416 43.678, -79.4326 43.6417, -79.8382 44.1333, -79.8382 44.1333, -79.8184 45.2114, -79.8184 45.2114, -80.8124 46.3846, -80.9019 46.526, -80.9019 46.526, -81.1965 46.581, -81.5379 46.6843, -83.601 47.887, -83.601 47.887, -85.1514 48.5197, -85.3005 48.5895, -85.3005 48.5895, -87.0499 48.7997, -87.2885 48.794, -87.2885 48.794, -89.2547 48.4078, -89.2547 48.4078, -89.9292 48.8189, -91.6836 49.4113, -91.6836 49.4113, -94.4976 49.7724, -94.4976 49.7724, -97.1319 49.8862, -97.1319 49.8862, -98 50.0572, -98.2851 49.9782, -98.2851 49.9782, -99.9515 49.8413, -99.9515 49.8413, -100.9362 49.8544, -102.4667 50.3651, -102.4667 50.3651, -104.646 50.4685, -104.646 50.4685, -104.6444 50.4678, -105.1661 50.392, -105.53 50.3781, -105.53 50.3781, -105.8861 50.4629, -106.0848 50.4475, -107.7987 50.2817, -107.7987 50.2817, -109.4763 49.9096, -110.5558 49.9774, -110.6718 50.0397, -110.6718 50.0397, -111.3563 50.2863, -113.4748 50.8506, -113.9156 50.9529, -113.9156 50.9529, -114.022 51.0238, -114.022 51.0238, -114.0048 50.9952, -114.0048 50.9952, -114.0048 50.9952, -114.0048 50.9952, -114.0048 50.9952)"
POINT Origin,POINT (-79.7729 44.2731)
POINT Destination,POINT (-114.0047 51.0045)
