Type,Geometry
LINESTRING,"LINESTRING (-79.8624 44.1482, -79.8624 44.1482, -79.8624 44.1482, -79.8624 44.1482, -79.8382 44.1333, -79.8382 44.1333, -79.8382 44.1333, -79.8184 45.2114, -79.8184 45.2114, -80.0362 45.3841, -80.8124 46.3846, -80.9019 46.526, -80.9019 46.526, -81.5379 46.6843, -81.5379 46.6843, -83.601 47.887, -83.601 47.887, -85.1514 48.5197, -85.3005 48.5895, -85.3005 48.5895, -87.0499 48.7997, -87.2885 48.794, -87.2885 48.794, -89.2547 48.4078, -89.2547 48.4078, -89.9292 48.8189, -91.6836 49.4113, -91.6836 49.4113, -94.4976 49.7724, -94.4976 49.7724, -97.1319 49.8862, -97.1319 49.8862, -98 50.0572, -98.2851 49.9782, -98.2851 49.9782, -99.9515 49.8413, -99.9515 49.8413, -100.9362 49.8544, -102.4667 50.3651, -102.4667 50.3651, -103.6649 50.5328, -103.6649 50.5328, -104.646 50.4685)"
POINT Origin,POINT (-79.7729 44.2731)
POINT Destination,POINT (-104.5968 50.4553)
