Type,Geometry
LINESTRING,"LINESTRING (-79.5077 43.7871, -79.5077 43.7871, -79.5077 43.7871, -79.5077 43.7871, -79.3922 43.8176, -79.3922 43.8176, -77.3749 44.1797, -77.3749 44.1797, -75.6918 44.5926, -75.6918 44.5926, -74.2324 45.2746, -74.2324 45.2746, -73.7535 45.4492, -73.7535 45.4492, -73.6312 45.4527, -73.6312 45.4527, -73.6312 45.4527, -73.5075 45.499, -73.5075 45.499, -71.2609 46.7138, -71.2609 46.7138, -71.2609 46.7138, -71.2609 46.7138, -71.1513 46.4301)"
POINT Origin,POINT (-79.5121 43.8286)
POINT Destination,POINT (-71.2475 46.7148)
