Type,Geometry
LINESTRING,"LINESTRING (-79.5077 43.7871, -79.5077 43.7871, -79.5077 43.7871, -79.5077 43.7871, -79.5077 43.7871, -79.5077 43.7871, -79.3922 43.8176, -79.3922 43.8176, -79.0603 43.8426, -79.0603 43.8426, -77.3749 44.1797, -77.3749 44.1797, -75.6918 44.5926, -75.6918 44.5926, -74.2324 45.2746, -74.2324 45.2746, -73.7535 45.4492, -73.7535 45.4492, -73.6312 45.4527, -73.6312 45.4527, -73.5075 45.499, -73.5075 45.499, -71.2609 46.7138, -71.2609 46.7138, -68.3355 47.3616, -68.3355 47.3616, -68.3355 47.3616, -67.9294 47.1611, -67.9294 47.1611, -69.0281 47.4478, -69.0281 47.4478, -64.8499 46.0782, -64.8499 46.0782, -64.8499 46.0782, -64.2122 45.8298, -63.8781 45.6921, -63.8781 45.6921, -63.2757 45.3624, -63.2757 45.3624, -63.2757 45.3624, -63.4458 45.0146, -63.4458 45.0146, -63.5729 44.6658, -63.5729 44.6658, -63.5729 44.6658)"
POINT Origin,POINT (-79.5121 43.8286)
POINT Destination,POINT (-63.5033 44.6239)
