Type,Geometry
LINESTRING,"LINESTRING (-79.8624 44.1482, -79.8624 44.1482, -79.8624 44.1482, -79.8382 44.1333, -79.8382 44.1333, -79.743 43.8706, -79.855881 44.178367, -79.4416 43.678, -79.4326 43.6417, -79.5077 43.786, -79.5077 43.786, -79.4416 43.678, -79.4326 43.6417, -79.8382 44.1333, -79.8382 44.1333, -79.818432 45.211385, -79.818432 45.211385, -80.9019 46.526, -80.9019 46.526, -81.196528 46.580992, -81.53788 46.684311, -81.53788 46.684311, -83.600996 47.88698, -83.600996 47.88698, -85.300491 48.589458, -85.300491 48.589458, -87.049917 48.799673, -87.28851 48.794043, -87.28851 48.794043, -89.2547 48.4078, -89.2547 48.4078, -91.68361 49.411325, -91.68361 49.411325, -94.497589 49.77235, -94.497589 49.77235, -97.13186 49.88618, -97.13186 49.88618, -97.13186 49.88618, -97.13186 49.88618, -97.13186 49.88618, -96.9968 49.8384, -96.9968 49.8384)"
POINT Origin,POINT (-79.77294635 44.273132444878925)
POINT Destination,POINT (-97.04763253 49.86735674898044)
