Type,Geometry
LINESTRING,"LINESTRING (-86.102856 33.438027, -86.102856 33.438027, -86.102856 33.438027, -86.81 33.5, -86.81 33.5, -85.749463 38.161928, -85.749463 38.161928, -84.49 39.09, -84.49 39.09, -85.134067 41.352561, -85.134067 41.352561, -87.664509 41.639403, -87.664509 41.639403, -87.864709 41.830141, -87.864709 41.830141, -87.90814 41.950321, -87.918584 41.953388, -87.918584 41.953388, -87.935325 41.956024, -87.905645 42.701058, -87.926107 42.820651, -87.90721 43.02594, -87.90721 43.02594, -88.597222 43.143889, -89.467683 43.547173, -89.467683 43.547173, -90.167921 43.870291, -91.245231 43.834811, -91.245231 43.834811, -91.330623 43.882783, -91.330623 43.882783, -91.758442 44.110664, -92.04963 44.382935, -92.04963 44.382935, -92.537446 44.566404, -92.537446 44.566404, -92.860026 44.757725, -92.96033 44.828048, -93.027234 44.932272, -93.027234 44.932272, -93.08674 44.94942, -93.098047 44.980607, -93.239939 44.95143, -93.239939 44.95143, -93.397243 45.048961, -95.365224 45.648787, -95.365224 45.648787, -96.897825 46.071257, -97.601399 46.625851, -97.601399 46.625851, -99.749576 47.693705, -99.933871 47.771946, -99.933871 47.771946, -100.372934 47.920782, -100.372934 47.920782, -100.842597 48.019155, -100.842597 48.019155, -101.263404 48.223459, -101.263404 48.223459, -102.083193 48.670231, -102.083193 48.670231, -102.547967 48.99824, -102.547967 48.99824, -102.999 49.138, -102.999 49.138, -103.858 49.6706, -103.858 49.6706, -105.53 50.3781, -105.53 50.3781, -105.886107 50.462857, -106.084763 50.447497, -107.798736 50.281654, -107.798736 50.281654, -109.476347 49.909556, -110.555822 49.977403, -110.555822 49.977403, -110.671843 50.039651, -111.356278 50.286287, -113.47484 50.850627, -113.915575 50.952853, -113.915575 50.952853, -114.021966 51.023849, -114.021966 51.023849, -114.021966 51.023849, -114.004834 50.995207, -114.004834 50.995207, -114.004834 50.995207, -114.004834 50.995207, -114.004834 50.995207)"
POINT Origin,POINT (-86.05063954 33.43614435842153)
POINT Destination,POINT (-114.0046971 51.004452930828485)
