Type,Geometry
LINESTRING,"LINESTRING (-85.4904 39.3261, -85.4904 39.3261, -85.4904 39.3261, -85.4904 39.3261, -84.7491 39.1495, -84.7491 39.1495, -84.7491 39.1495, -84.49 39.09, -83.4959 41.5865, -83.4959 41.5865, -83.0709 42.3195, -83.0709 42.3195, -83.0709 42.3195, -83.0709 42.3195, -83.1066 42.3257, -82.971 42.2739, -82.971 42.2739, -82.9781 42.2855, -82.9781 42.2855, -82.7133 42.2855, -82.1756 42.3996, -81.1901 43.0036, -81.1901 43.0036, -80.7392 43.1255, -80.7392 43.1255, -80.727 43.1592, -80.727 43.1592, -80.3597 43.3997, -80.3597 43.3997, -80 43.4724, -79.76 43.6554, -79.4326 43.6417, -79.4326 43.6417, -79.5077 43.786, -79.5077 43.786, -76.0272 44.9065, -76.0272 44.9065, -73.6815 45.4553, -73.78 45.4479, -73.6815 45.4553, -73.6815 45.4553, -73.6815 45.4553, -73.6815 45.4553)"
POINT Origin,POINT (-85.5289 39.3636)
POINT Destination,POINT (-73.6725 45.469)
