Type,Geometry
LINESTRING,"LINESTRING (-83.53 40.23, -83.5 40.26, -83.5 40.26, -83.68 41.18, -83.68 41.18, -85.1341 41.3526, -85.1341 41.3526, -85.1341 41.3526, -87.6645 41.6394, -87.6645 41.6394, -87.6645 41.6394, -87.8647 41.8301, -87.8647 41.8301, -87.9081 41.9503, -87.9186 41.9534, -87.9186 41.9534, -87.9353 41.956, -87.9056 42.7011, -87.9261 42.8207, -87.9072 43.0259, -87.9072 43.0259, -88.5972 43.1439, -89.4677 43.5472, -89.4677 43.5472, -90.0214 43.7733, -90.1679 43.8703, -91.2452 43.8348, -91.2452 43.8348, -91.3306 43.8828, -91.3306 43.8828, -91.7584 44.1107, -92.0496 44.3829, -92.0496 44.3829, -92.5374 44.5664, -92.5374 44.5664, -92.86 44.7577, -92.9603 44.828, -93.0272 44.9323, -93.0867 44.9494, -93.2399 44.9514, -93.2399 44.9514, -93.3198 45.0424, -93.3198 45.0424, -93.3972 45.049, -95.3652 45.6488, -95.3652 45.6488, -96.8978 46.0713, -97.6014 46.6259, -97.6014 46.6259, -99.7496 47.6937, -99.9339 47.7719, -99.9339 47.7719, -100.3729 47.9208, -100.3729 47.9208, -100.8426 48.0192, -100.8426 48.0192, -101.2634 48.2235, -101.2634 48.2235, -102.0832 48.6702, -102.0832 48.6702, -102.548 48.9982, -102.999 49.138, -102.999 49.138, -103.858 49.6706, -103.858 49.6706, -105.53 50.3781, -105.53 50.3781, -111.3563 50.2863, -113.4748 50.8506, -113.9156 50.9529, -113.9156 50.9529, -114.022 51.0238, -114.2429 51.1031, -116.4123 51.4281, -116.4889 51.3975, -116.4889 51.3975, -116.8398 51.2965, -116.9804 51.2982, -116.9804 51.2982, -117.1368 51.4778, -117.1368 51.4778, -117.668 51.2228, -117.8748 51.1225, -118.0851 51.012, -118.1898 51.0022, -118.1898 51.0022, -119.012 50.8326, -119.5887 50.8631, -120.3487 50.7183, -120.3487 50.7183, -120.8197 50.7581, -121.4449 49.8695, -121.4449 49.8695, -120.8197 50.7581, -122.3025 49.1341, -122.7736 49.2611, -122.7736 49.2611, -122.9294 49.2015, -122.577 49.143, -122.946 49.1986, -122.9294 49.2015, -122.9294 49.2015, -122.9486 49.1621, -122.9486 49.1621, -122.9486 49.1621)"
POINT Origin,POINT (-83.5262 40.304)
POINT Destination,POINT (-122.9397 49.173)
