Type,Geometry
LINESTRING,"LINESTRING (-83.5 40.26, -83.5 40.26, -83.5 40.26, -84.49 39.09, -84.49 39.09, -85.749463 38.161928, -85.749463 38.161928, -85.749463 38.161928, -84.49 39.09, -84.49 39.09, -83.495886 41.586476, -83.495886 41.586476, -83.51 41.69, -83.51 41.69, -83.51 41.69, -83.503052 41.709312, -83.182049 42.143997, -83.182049 42.143997, -83.273369 42.109386, -83.273369 42.109386, -83.152124 42.234069, -83.152124 42.234069, -83.140116 42.271946, -83.140116 42.271946, -83.057429 42.378593, -83.057429 42.378593, -83.057429 42.378593, -83.127297 42.464464, -83.127297 42.464464, -83.292523 42.632166, -83.292523 42.632166, -83.983296 42.909488, -83.983296 42.909488, -83.680839 43.003379, -83.680839 43.003379, -82.443385 42.960829, -82.443385 42.960829, -82.355698 42.956487, -82.355698 42.956487, -82.233498 42.951244, -82.233498 42.951244, -81.215543 42.986096, -81.215543 42.986096, -81.215543 42.986096, -80.429088 43.193866, -80.429088 43.193866, -79.855518 43.312567, -79.855518 43.312567, -79.931368 43.652851, -79.931368 43.652851, -79.764079 43.686915, -79.764079 43.686915, -79.485201 43.787682, -79.485201 43.787682, -79.088117 43.829751, -79.088117 43.829751, -79.060332 43.842578, -79.060332 43.842578, -78.8849 43.87079, -78.8849 43.87079, -78.602312 43.905394, -78.602312 43.905394, -77.374856 44.179657, -77.374856 44.179657, -77.151355 44.219401, -77.151355 44.219401, -76.3064 44.333728, -76.3064 44.333728, -75.691833 44.592561, -75.691833 44.592561, -74.477281 45.153689, -74.477281 45.153689, -74.232441 45.27464, -74.232441 45.27464, -73.753497 45.449248, -73.753497 45.449248, -73.681311 45.471154, -73.681311 45.471154, -73.631185 45.452732, -73.631185 45.452732, -73.631185 45.452732, -73.50751 45.499041, -73.50751 45.499041, -72.239662 46.169596, -72.239662 46.169596, -71.260888 46.713817, -71.260888 46.713817, -68.335497 47.361586, -69.696312 47.623271, -68.335497 47.361586, -68.335497 47.361586, -67.929375 47.16106, -67.929375 47.16106, -69.028137 47.447799, -69.028137 47.447799, -64.849948 46.078223, -64.849948 46.078223, -64.849948 46.078223, -64.212199 45.829837, -63.878067 45.692067, -63.878067 45.692067, -63.878067 45.692067, -63.275703 45.362444, -63.275703 45.362444, -63.275703 45.362444, -63.44577 45.01462, -63.44577 45.01462, -63.572941 44.665796, -63.572941 44.665796, -63.572941 44.665796, -63.572941 44.665796)"
POINT Origin,POINT (-83.52920072 40.30451165992512)
POINT Destination,POINT (-63.5033184 44.62389374259541)
