Type,Geometry
LINESTRING,"LINESTRING (-100.7698 20.4971, -100.7998 20.5199, -100.7698 20.4971, -101.3475 20.6901, -101.3475 20.6901, -102.27 22.08, -102.27 22.08, -103.427 25.591, -103.427 25.591, -103.575 25.79, -103.575 25.79, -103.3474 25.7543, -103.3474 25.7543, -92.5833 17.4667, -92.5833 17.4667, -94.0338 18.2448, -94.0338 18.2448, -100.9374 25.9449, -100.9374 25.9449, -101.4633 26.9031, -101.4633 26.9031, -101.4633 26.9031, -100.4983 28.7008, -100.5094 28.6955, -100.4983 28.7008, -100.5094 28.6955, -100.4961 28.7197, -100.438 28.8282, -100.438 28.8282, -100.3999 29.1615, -100.3941 29.1617, -100.0026 29.2542, -99.6144 29.3025, -99.1596 29.346, -98.8149 29.31, -98.6504 29.3195, -98.5798 29.3508, -98.5631 29.3699, -98.5631 29.3699, -98.4549 29.4357, -98.4853 29.4026, -97.9407 29.8784, -97.8118 30.1872, -97.6611 30.512, -97.4081 30.5675, -97.4081 30.5675, -97.0529 30.6436, -96.7118 30.7916, -96.6422 30.8401, -96.5927 30.7786, -96.5927 30.7786, -96.5989 30.8803, -96.4745 31.0329, -95.6454 31.7526, -95.6251 31.7605, -95.6251 31.7605, -95.2082 32.0196, -94.9785 32.2759, -94.7268 32.4946, -94.7268 32.4946, -94.5935 32.5098, -94.3665 32.5522, -94.3665 32.5522, -94.2836 32.8664, -94.1512 33.1713, -94.0585 33.3984, -94.0429 33.4198, -94.0429 33.4198, -93.6739 33.6447, -93.3828 33.8005, -92.9211 34.2402, -92.6528 34.4522, -92.4458 34.6292, -92.3473 34.6884, -92.2307 34.7706, -92.2691 34.7661, -92.2307 34.7706, -92.2307 34.7706, -92.2307 34.7706, -92.159 34.8267, -92.0913 34.879, -91.9698 35.0103, -91.5636 35.3118, -91.5636 35.3118, -91.3274 35.5856, -91.079 35.9012, -90.7937 36.185, -90.565 36.4286, -90.4707 36.6681, -90.3953 36.7526, -90.3953 36.7526, -90.3953 36.7526, -90.259 36.7716, -89.9724 36.7947, -89.9304 36.8114, -89.9091 36.8366, -89.9091 36.8366, -89.869 36.95, -89.7141 37.2024, -89.4822 37.7125, -89.4822 37.7125, -89.8367 37.906, -90.2088 38.1608, -90.3045 38.3204, -90.2687 38.3967, -90.2107 38.5202, -90.2107 38.5202, -90.2107 38.5202, -90.1567 38.5949, -90.1381 38.5901, -90.1381 38.5901, -90.1381 38.5901, -90.1378 38.5907, -90.1378 38.5907, -90.1378 38.5907, -90.1381 38.5901, -90.1381 38.5901, -90.0897 38.7617, -89.9283 38.8787, -89.6238 39.0441, -88.7546 39.5163, -88.2964 39.7966, -88.1546 39.8656, -88.1546 39.8656, -88.0694 40.0007, -87.7307 40.7042, -87.6522 41.1705, -87.6124 41.5687, -87.6121 41.5919, -87.6123 41.6227, -87.6123 41.6227, -87.6123 41.6227, -87.6123 41.6227, -87.6546 41.5882, -87.6546 41.5882, -87.637 41.8596, -87.6546 41.5882, -87.654 41.5886, -87.8588 41.492, -87.8588 41.492, -88.0593 41.536, -88.0593 41.536, -88.1419 41.575, -88.1419 41.575, -88.2038 41.6164, -88.2038 41.6164, -88.2308 41.7957, -88.2308 41.7957, -88.2092 41.886, -88.2092 41.886, -88.2092 42.055, -88.2092 42.055, -87.9822 42.246, -87.9822 42.246, -88.0931 42.4849, -88.0931 42.4849, -88.2112 43.0365, -88.2112 43.0365, -88.4563 43.7769, -88.4563 43.7769, -88.4702 44.1804, -88.4702 44.1804, -89.5641 44.5129, -89.5641 44.5129, -90.1551 44.6609, -90.1551 44.6609, -91.1034 45.4629, -91.1034 45.4629, -91.8733 46.5181, -91.8733 46.5181, -92.1452 46.6472, -92.1452 46.6472, -92.1452 46.6472, -92.2979 46.7062, -92.2979 46.7062, -92.2979 46.7062, -92.6043 47.3818, -92.6043 47.3818, -92.5627 47.5175, -92.5627 47.5175, -93.3487 48.6146, -93.3487 48.6146, -93.4037 48.6139, -93.4037 48.6139, -94.5669 48.7227, -94.5669 48.7227, -96.2633 49.3156, -96.2633 49.3156, -96.8574 49.7867, -96.8574 49.7867, -97.0705 49.8734, -97.0705 49.8734, -97.1483 49.86, -97.1483 49.86, -97.4106 49.8363, -97.4106 49.8363, -100.2385 50.0288, -100.2385 50.0288, -102.8069 50.9258, -102.8069 50.9258, -105.4683 51.6711, -105.4683 51.6711, -106.7386 52.104, -106.7386 52.104, -106.7386 52.104, -107.987 52.0534, -107.987 52.0534, -110.8616 52.8317, -110.8616 52.8317, -110.8616 52.8317, -111.0013 52.8814, -111.0013 52.8814, -112.1122 53.1934, -112.1122 53.1934, -113.3441 53.5768, -113.3441 53.5768, -113.3441 53.5768)"
POINT Origin,POINT (-100.7737 20.4702)
POINT Destination,POINT (-113.3303 53.5747)
