Type,Geometry
LINESTRING,"LINESTRING (-85.490362 39.326092, -85.490362 39.326092, -84.74914 39.149465, -84.74914 39.149465, -84.74914 39.149465, -84.49 39.09, -84.14 40.75, -84.14 40.75, -83.495886 41.586476, -83.531595 41.589185, -83.51 41.69, -83.504161 41.616372, -83.503052 41.709312, -83.503052 41.709312, -83.182049 42.143997, -83.182049 42.143997, -83.152124 42.234069, -83.152124 42.234069, -83.140116 42.271946, -83.140116 42.271946, -83.106598 42.325699, -83.106598 42.325699, -82.797208 42.734783, -82.797208 42.734783, -82.443385 42.960829, -82.443385 42.960829, -82.355698 42.956487, -82.355698 42.956487, -82.233498 42.951244, -82.233498 42.951244, -81.215543 42.986096, -81.215543 42.986096, -81.215543 42.986096, -80.429088 43.193866, -80.429088 43.193866, -80.265823 43.146751, -80.265823 43.146751, -80.265823 43.146751, -79.855518 43.312567, -79.855518 43.312567, -79.931368 43.652851, -79.931368 43.652851, -79.764079 43.686915, -79.764079 43.686915, -79.507665 43.787143, -79.507665 43.787143, -79.507665 43.787143, -79.507665 43.787143, -79.50766 43.78714)"
POINT Origin,POINT (-85.52887602 39.36360300963022)
POINT Destination,POINT (-79.51209137 43.82861810019113)
