Type,Geometry
LINESTRING,"LINESTRING (-86.1029 33.438, -86.1029 33.438, -86.81 33.5, -86.81 33.5, -85.7495 38.1619, -85.7495 38.1619, -84.49 39.09, -84.49 39.09, -83.4959 41.5865, -83.5316 41.5892, -83.51 41.69, -83.5042 41.6164, -83.5031 41.7093, -83.5031 41.7093, -83.182 42.144, -83.182 42.144, -83.1521 42.2341, -83.1521 42.2341, -83.1401 42.2719, -83.1401 42.2719, -83.1066 42.3257, -83.1066 42.3257, -82.7972 42.7348, -82.7972 42.7348, -82.4434 42.9608, -82.4434 42.9608, -82.3557 42.9565, -82.3557 42.9565, -82.2335 42.9512, -82.2335 42.9512, -81.2155 42.9861, -81.2155 42.9861, -80.4291 43.1939, -80.4291 43.1939, -80.2658 43.1468, -80.2658 43.1468, -80.2658 43.1468, -79.8555 43.3126, -79.8555 43.3126, -79.9314 43.6529, -79.9314 43.6529, -79.7641 43.6869, -79.7641 43.6869, -79.5077 43.7871, -79.5077 43.7871, -79.3922 43.8176, -79.3922 43.8176, -79.0603 43.8426, -79.0603 43.8426, -77.3749 44.1797, -77.3749 44.1797, -75.6918 44.5926, -75.6918 44.5926, -74.2324 45.2746, -74.2324 45.2746, -73.7535 45.4492, -73.7535 45.4492, -73.6312 45.4527, -73.6312 45.4527, -73.5075 45.499, -73.5075 45.499, -71.2609 46.7138, -71.2609 46.7138, -68.3355 47.3616, -68.3355 47.3616, -68.3355 47.3616, -67.9294 47.1611, -67.9294 47.1611, -69.0281 47.4478, -69.0281 47.4478, -64.8499 46.0782, -64.8499 46.0782, -64.8499 46.0782, -63.8781 45.6921, -63.8781 45.6921, -63.2757 45.3624, -63.2757 45.3624, -63.2757 45.3624, -63.4458 45.0146, -63.4458 45.0146, -63.5729 44.6658, -63.5729 44.6658, -63.5729 44.6658, -63.5729 44.6658)"
POINT Origin,POINT (-86.0506 33.4361)
POINT Destination,POINT (-63.5033 44.6239)
