Type,Geometry
LINESTRING,"LINESTRING (-79.507665 43.787143, -79.507665 43.787143, -79.507665 43.787143, -79.507665 43.787143, -79.764079 43.686915, -79.764079 43.686915, -79.931368 43.652851, -79.931368 43.652851, -79.855518 43.312567, -79.855518 43.312567, -80.429088 43.193866, -81.215543 42.986096, -81.215543 42.986096, -82.233498 42.951244, -82.233498 42.951244, -82.355698 42.956487, -82.355698 42.956487, -82.443385 42.960829, -82.443385 42.960829, -83.680839 43.003379, -83.680839 43.003379, -83.983296 42.909488, -83.983296 42.909488, -84.6229 42.7027, -84.6229 42.7027, -84.6229 42.7027, -85.141617 42.335182, -85.141617 42.335182, -85.141617 42.335182, -85.811411 42.027214, -85.811411 42.027214, -86.267678 41.670158, -86.267678 41.670158, -86.338101 41.646295, -86.338101 41.646295, -87.028639 41.475902, -87.028639 41.475902, -87.427564 41.520374, -87.427564 41.520374, -87.686233 41.494834, -87.686233 41.494834, -88.059277 41.536014, -88.059277 41.536014, -88.141878 41.574991, -88.141878 41.574991, -88.230824 41.79566, -88.230824 41.79566, -88.209173 41.885985, -88.209173 41.885985, -88.209244 42.055026, -88.209244 42.055026, -87.982174 42.245988, -87.982174 42.245988, -88.093115 42.484875, -88.093115 42.484875, -88.211183 43.036539, -88.211183 43.036539, -88.456264 43.776862, -88.456264 43.776862, -88.470213 44.18039, -88.470213 44.18039, -89.56414 44.512886, -89.56414 44.512886, -90.155053 44.660943, -90.155053 44.660943, -91.103405 45.462892, -91.103405 45.462892, -91.873264 46.518121, -91.873264 46.518121, -92.145164 46.647167, -92.145164 46.647167, -92.145164 46.647167, -92.297943 46.706226, -92.297943 46.706226, -92.297943 46.706226, -92.604298 47.381796, -92.604298 47.381796, -92.562734 47.517452, -92.562734 47.517452, -93.348722 48.614591, -93.348722 48.614591, -93.40368 48.61385, -93.40368 48.61385, -94.566907 48.722728, -94.566907 48.722728, -97.0705 49.8734, -97.14834 49.860001, -97.14834 49.860001, -97.41063 49.836295, -97.41063 49.836295, -100.238547 50.028806, -100.238547 50.028806, -102.806895 50.925794, -102.806895 50.925794, -105.468328 51.671092, -105.468328 51.671092, -106.738617 52.103974, -106.738617 52.103974, -106.738617 52.103974, -107.986967 52.053401, -107.986967 52.053401, -108.310431 52.166951, -108.310431 52.166951, -110.861553 52.831696, -110.861553 52.831696, -110.861553 52.831696, -111.001296 52.881353, -111.001296 52.881353, -112.11221 53.193402, -112.11221 53.193402, -113.344064 53.576816, -113.344064 53.576816, -113.344064 53.576816)"
POINT Origin,POINT (-79.51209137 43.82861810019113)
POINT Destination,POINT (-113.3302691 53.57472657)
