Type,Geometry
LINESTRING,"LINESTRING (-99.87 25.16, -99.87 25.16, -99.87 25.16, -99.87 25.16, -99.87 25.16, -101.463303 26.903149, -101.463303 26.903149, -100.77 28.42, -100.50941 28.69553, -100.50941 28.69553, -100.4983 28.7008, -100.496075 28.719698, -100.437993 28.828202, -100.437993 28.828202, -100.399938 29.161532, -100.394133 29.161718, -100.002605 29.254206, -99.614359 29.302475, -99.159554 29.346025, -98.81493 29.309975, -98.650445 29.319542, -98.57984 29.35081, -98.56309 29.369927, -98.56309 29.369927, -98.454872 29.435738, -98.485267 29.402608, -97.929238 29.883075, -97.940706 29.878395, -97.811782 30.18723, -97.661071 30.512026, -97.408108 30.567493, -97.408108 30.567493, -97.052946 30.643611, -96.592714 30.778561, -96.711837 30.791635, -96.642231 30.840053, -96.592714 30.778561, -96.598884 30.88029, -96.474475 31.032873, -95.645418 31.752605, -95.625136 31.760513, -95.625136 31.760513, -95.208191 32.01959, -94.978502 32.275865, -94.726817 32.49457, -94.726817 32.49457, -94.59347 32.509758, -94.366468 32.552177, -94.366468 32.552177, -94.366468 32.552177, -94.283605 32.866379, -94.15119 33.171337, -94.058518 33.398361, -94.042853 33.419754, -94.042853 33.419754, -93.673938 33.644706, -93.382849 33.80047, -92.921104 34.240212, -92.652802 34.452159, -92.445817 34.629246, -92.34731 34.688413, -92.230666 34.770649, -92.26906 34.76612, -92.230666 34.770649, -92.230666 34.770649, -92.159032 34.826737, -92.091322 34.878962, -91.969848 35.010313, -91.563552 35.311849, -91.563552 35.311849, -91.327433 35.585558, -91.07896 35.901243, -90.793721 36.185021, -90.564963 36.428647, -90.470723 36.668118, -90.395288 36.752623, -90.395288 36.752623, -90.395288 36.752623, -90.258983 36.771636, -89.97241 36.794709, -89.930411 36.811429, -89.909125 36.836559, -89.909125 36.836559, -89.868961 36.949984, -89.714087 37.202421, -89.482241 37.712515, -89.482241 37.712515, -89.836675 37.906004, -90.20878 38.16077, -90.304453 38.320396, -90.210731 38.520165, -90.210731 38.520165, -90.210731 38.520165, -90.156663 38.594921, -90.138147 38.590113, -90.138147 38.590113, -90.138147 38.590113, -90.1378 38.5907, -90.1378 38.5907, -90.1378 38.5907, -90.138147 38.590113, -90.138147 38.590113, -90.089733 38.761701, -89.928343 38.878652, -89.623829 39.044101, -88.7546 39.516325, -88.29642 39.796601, -88.154554 39.865607, -88.154554 39.865607, -88.069377 40.000659, -87.730728 40.704218, -87.7329 40.745036, -87.652173 41.170547, -87.61236 41.568657, -87.61213 41.591888, -87.612267 41.622673, -87.612267 41.622673, -87.612267 41.622673, -87.654561 41.588159, -87.654561 41.588159, -87.637023 41.859614, -87.654561 41.588159, -87.686233 41.494834, -87.686233 41.494834, -87.427564 41.520374, -87.427564 41.520374, -87.028639 41.475902, -87.028639 41.475902, -86.338101 41.646295, -86.338101 41.646295, -86.267678 41.670158, -86.267678 41.670158, -85.811411 42.027214, -85.811411 42.027214, -85.141617 42.335182, -85.141617 42.335182, -84.6229 42.7027, -84.6229 42.7027, -83.983296 42.909488, -83.983296 42.909488, -83.680839 43.003379, -83.680839 43.003379, -83.680839 43.003379, -82.443385 42.960829, -82.443385 42.960829, -82.355698 42.956487, -82.355698 42.956487, -82.233498 42.951244, -82.233498 42.951244, -81.215543 42.986096, -81.215543 42.986096, -81.215543 42.986096, -80.429088 43.193866, -80.429088 43.193866, -79.855518 43.312567, -79.855518 43.312567, -79.855518 43.312567, -79.931368 43.652851, -79.931368 43.652851, -79.764079 43.686915, -79.764079 43.686915, -79.680031 43.739437, -79.680031 43.739437, -79.507665 43.787143, -79.507665 43.787143, -79.507665 43.787143, -79.507665 43.787143, -79.50766 43.78714)"
POINT Origin,POINT (-100.3437106 25.83782798278985)
POINT Destination,POINT (-79.51209137 43.82861810019113)
