Origin Name Alias,origin_latitude,origin_longitude
ALLISTON,44.273132444878925,-79.77294635093656
CELAYA,20.470198325652,-100.77371322561916
CONCORD,43.82861810019113,-79.5120913707679
EAST LIBERTY,40.30399304609711,-83.52616320827508
GREENSBURG,39.36360300963022,-85.52887602462174
MARYSVILLE,40.30451165992512,-83.5292007191846
MONTERREY,25.83782798278985,-100.34371058378983
TALLADEGA,33.43614435842153,-86.05063954279497
