Type,Geometry
LINESTRING,"LINESTRING (-100.7698 20.4971, -100.7698 20.4971, -100.7698 20.4971, -100.7698 20.4971, -100.7698 20.4971, -101.195 20.5756, -101.195 20.5756, -101.3475 20.6901, -101.3475 20.6901, -102.364 21.837, -102.364 21.837, -102.27 22.08, -102.27 22.08, -103.427 25.591, -103.427 25.591, -100.9374 25.9449, -100.9374 25.9449, -101.4633 26.9031, -101.4633 26.9031, -100.77 28.42, -100.5094 28.6955, -100.5094 28.6955, -100.4983 28.7008, -100.4961 28.7197, -100.438 28.8282, -100.438 28.8282, -100.3999 29.1615, -100.3941 29.1617, -100.0026 29.2542, -99.6144 29.3025, -99.1596 29.346, -98.8149 29.31, -98.6504 29.3195, -98.5798 29.3508, -98.5631 29.3699, -98.5631 29.3699, -98.4549 29.4357, -98.4853 29.4026, -98.4183 29.5652, -97.9407 29.8784, -97.8118 30.1872, -97.6611 30.512, -97.4081 30.5675, -97.4081 30.5675, -97.0529 30.6436, -96.7118 30.7916, -96.6422 30.8401, -96.5927 30.7786, -96.5927 30.7786, -96.5989 30.8803, -96.4745 31.0329, -95.6454 31.7526, -95.6251 31.7605, -95.6251 31.7605, -95.2082 32.0196, -94.9785 32.2759, -94.7268 32.4946, -94.7268 32.4946, -94.5935 32.5098, -94.3665 32.5522, -94.3665 32.5522, -94.2836 32.8664, -94.1512 33.1713, -94.0585 33.3984, -94.0429 33.4198, -94.0429 33.4198, -93.6739 33.6447, -93.3828 33.8005, -92.9211 34.2402, -92.6528 34.4522, -92.4458 34.6292, -92.3473 34.6884, -92.2307 34.7706, -92.2691 34.7661, -92.2307 34.7706, -92.2307 34.7706, -92.159 34.8267, -92.0913 34.879, -91.9698 35.0103, -91.5636 35.3118, -91.5636 35.3118, -91.3274 35.5856, -91.079 35.9012, -90.7937 36.185, -90.565 36.4286, -90.4707 36.6681, -90.3953 36.7526, -90.3953 36.7526, -90.3953 36.7526, -90.259 36.7716, -89.9724 36.7947, -89.9304 36.8114, -89.9091 36.8366, -89.9091 36.8366, -89.869 36.95, -89.7141 37.2024, -89.4822 37.7125, -89.4822 37.7125, -89.8367 37.906, -90.2088 38.1608, -90.3045 38.3204, -90.2107 38.5202, -90.2107 38.5202, -90.2107 38.5202, -90.1567 38.5949, -90.1381 38.5901, -90.1381 38.5901, -90.1381 38.5901, -90.1378 38.5907, -90.1378 38.5907, -90.1378 38.5907, -90.1381 38.5901, -90.0897 38.7617, -89.9283 38.8787, -89.6238 39.0441, -88.7546 39.5163, -88.2964 39.7966, -88.1546 39.8656, -88.1546 39.8656, -88.0694 40.0007, -87.7307 40.7042, -87.6522 41.1705, -87.6445 41.2367, -87.6124 41.5687, -87.6121 41.5919, -87.6123 41.6227, -87.6123 41.6227, -87.6123 41.6227, -87.6123 41.6227, -87.6546 41.5882, -87.6546 41.5882, -87.637 41.8596, -87.6546 41.5882, -87.654 41.5886, -87.6862 41.4948, -87.6862 41.4948, -87.4276 41.5204, -87.4276 41.5204, -87.0286 41.4759, -87.0286 41.4759, -86.3381 41.6463, -86.3381 41.6463, -86.2677 41.6702, -86.2677 41.6702, -85.8114 42.0272, -85.8114 42.0272, -85.1416 42.3352, -85.1416 42.3352, -84.6229 42.7027, -84.6229 42.7027, -83.9833 42.9095, -83.9833 42.9095, -83.6808 43.0034, -83.6808 43.0034, -83.6808 43.0034, -82.4434 42.9608, -82.4434 42.9608, -82.3557 42.9565, -82.3557 42.9565, -82.2335 42.9512, -82.2335 42.9512, -81.2155 42.9861, -81.2155 42.9861, -81.2155 42.9861, -80.4291 43.1939, -80.4291 43.1939, -79.8555 43.3126, -79.8555 43.3126, -79.9314 43.6529, -79.9314 43.6529, -79.7641 43.6869, -79.7641 43.6869, -79.4852 43.7877, -79.4852 43.7877, -79.0881 43.8298, -79.0881 43.8298, -79.0603 43.8426, -79.0603 43.8426, -78.8849 43.8708, -78.6023 43.9054, -78.6023 43.9054, -77.3749 44.1797, -77.3749 44.1797, -75.6918 44.5926, -75.6918 44.5926, -74.4773 45.1537, -74.4773 45.1537, -74.2324 45.2746, -74.2324 45.2746, -73.7535 45.4492, -73.7535 45.4492, -73.6813 45.4712, -73.6813 45.4712, -73.6312 45.4527, -73.6312 45.4527, -73.5075 45.499, -73.5075 45.499, -72.2397 46.1696, -72.2397 46.1696, -71.2609 46.7138, -71.2609 46.7138, -68.3355 47.3616, -68.3355 47.3616, -68.3355 47.3616, -67.9294 47.1611, -67.9294 47.1611, -69.0281 47.4478, -69.0281 47.4478, -64.8499 46.0782, -64.8499 46.0782, -64.8499 46.0782, -63.8781 45.6921, -63.8781 45.6921, -63.2757 45.3624, -63.2757 45.3624, -63.2757 45.3624, -63.4458 45.0146, -63.4458 45.0146, -63.5729 44.6658, -63.5729 44.6658, -63.5729 44.6658, -63.5729 44.6658)"
POINT Origin,POINT (-100.7737 20.4702)
POINT Destination,POINT (-63.5033 44.6239)
