Type,Geometry
LINESTRING,"LINESTRING (-79.5077 43.7871, -79.5077 43.7871, -79.5077 43.7871, -79.5077 43.7871, -79.7641 43.6869, -79.7641 43.6869, -79.9314 43.6529, -79.9314 43.6529, -79.8555 43.3126, -79.8555 43.3126, -81.2155 42.9861, -81.2155 42.9861, -82.2335 42.9512, -82.2335 42.9512, -82.3557 42.9565, -82.3557 42.9565, -82.4434 42.9608, -82.4434 42.9608, -83.6808 43.0034, -83.6808 43.0034, -83.6808 43.0034, -83.9833 42.9095, -83.9833 42.9095, -84.6229 42.7027, -84.6229 42.7027, -84.6229 42.7027, -85.1416 42.3352, -85.1416 42.3352, -85.1416 42.3352, -85.8114 42.0272, -85.8114 42.0272, -86.2677 41.6702, -86.2677 41.6702, -86.3381 41.6463, -86.3381 41.6463, -87.0286 41.4759, -87.0286 41.4759, -87.4276 41.5204, -87.4276 41.5204, -87.6862 41.4948, -87.6862 41.4948, -88.0593 41.536, -88.0593 41.536, -88.1419 41.575, -88.1419 41.575, -88.2308 41.7957, -88.2308 41.7957, -88.2092 41.886, -88.2092 41.886, -88.2092 42.055, -88.2092 42.055, -87.9822 42.246, -87.9822 42.246, -88.0931 42.4849, -88.0931 42.4849, -88.2112 43.0365, -88.2112 43.0365, -88.4563 43.7769, -88.4563 43.7769, -88.4702 44.1804, -88.4702 44.1804, -89.5641 44.5129, -89.5641 44.5129, -90.1551 44.6609, -90.1551 44.6609, -91.1034 45.4629, -91.1034 45.4629, -91.8733 46.5181, -92.1452 46.6472, -92.1452 46.6472, -92.1452 46.6472, -92.2979 46.7062, -92.2979 46.7062, -92.2979 46.7062, -92.6043 47.3818, -92.6043 47.3818, -92.5627 47.5175, -92.5627 47.5175, -93.3487 48.6146, -93.3487 48.6146, -93.4037 48.6139, -93.4037 48.6139, -94.5669 48.7227, -94.5669 48.7227, -97.0705 49.8734, -97.0705 49.8734, -97.1483 49.86, -97.1483 49.86, -97.4106 49.8363, -97.4106 49.8363, -100.2385 50.0288, -100.2385 50.0288, -102.8069 50.9258, -102.8069 50.9258, -104.6252 51.4111, -105.4683 51.6711, -105.4683 51.6711, -106.7386 52.104, -106.7386 52.104, -106.7386 52.104, -107.987 52.0534, -107.987 52.0534, -110.8616 52.8317, -110.8616 52.8317, -111.0013 52.8814, -111.0013 52.8814, -113.3441 53.5768, -113.3441 53.5768, -113.3441 53.5768)"
POINT Origin,POINT (-79.5121 43.8286)
POINT Destination,POINT (-113.3303 53.5747)
