Type,Geometry
LINESTRING,"LINESTRING (-83.5 40.26, -83.5 40.26, -83.68 41.18, -83.68 41.18, -85.134067 41.352561, -85.134067 41.352561, -87.664509 41.639403, -87.664509 41.639403, -87.664509 41.639403, -87.864709 41.830141, -87.864709 41.830141, -87.90814 41.950321, -87.905645 42.701058, -87.926107 42.820651, -87.90721 43.02594, -87.90721 43.02594, -88.597222 43.143889, -89.467683 43.547173, -89.467683 43.547173, -90.021398 43.773273, -90.167921 43.870291, -91.245231 43.834811, -91.245231 43.834811, -91.330623 43.882783, -91.330623 43.882783, -91.758442 44.110664, -92.04963 44.382935, -92.04963 44.382935, -92.537446 44.566404, -92.537446 44.566404, -92.860026 44.757725, -92.96033 44.828048, -93.027234 44.932272, -93.027234 44.932272, -93.08674 44.94942, -93.239939 44.95143, -93.319776 45.042376, -93.319776 45.042376, -93.397243 45.048961, -95.365224 45.648787, -95.365224 45.648787, -96.17605 48.128644, -96.17605 48.128644, -97.202816 48.999499, -97.202816 48.999499, -97.13186 49.88618, -97.13186 49.88618)"
POINT Origin,POINT (-83.52616321 40.30399304609711)
POINT Destination,POINT (-97.04763253 49.86735674898044)
